ANO Y MES;TOTAL;TIPO DE ACCIDENTE - CHOQUE;TIPO DE ACCIDENTE - ROCE;TIPO DE ACCIDENTE - VUELCO;TIPO DE ACCIDENTE - ARROLLAMIENTO;TIPO DE ACCIDENTE - INCENDIO;TIPO DE ACCIDENTE - CASUAL;TIPO DE ACCIDENTE - ATROPELLAMIENTO
   ANO 2020;1.269;984;55;126;11;2;34;57
       Enero;133;114;5;9;-;-;3;2
       Febrero;123;98;8;9;-;-;3;5
       Marzo;88;75;3;8;-;1;1;-
       Abril;31;23;-;3;-;-;4;1
       Mayo;73;53;4;9;1;-;1;5
       Junio;90;66;3;8;-;-;2;11
       Julio;119;89;4;10;6;-;3;7
       Agosto;114;89;8;12;1;-;2;2
       Setiembre;105;73;6;15;-;1;3;7
       Octubre;129;85;5;21;1;-;8;9
       Noviembre;142;113;4;15;1;-;4;5
       Diciembre;122;106;5;7;1;-;-;3
   ANO 2021;1.942;1.529;107;172;6;4;41;83
       Enero;140;115;3;9;1;-;6;6
       Febrero;129;108;4;9;1;-;2;5
       Marzo;124;92;8;9;-;1;8;6
       Abril;138;110;4;14;1;-;2;7
       Mayo;145;114;3;18;-;-;1;9
       Junio;140;109;6;15;-;-;2;8
       Julio;173;142;9;12;-;-;3;7
       Agosto;188;150;9;17;-;-;4;8
       Setiembre;198;147;15;23;1;3;4;5
       Octubre;201;149;25;11;1;-;6;9
       Noviembre;179;143;8;18;1;-;1;8
       Diciembre;187;150;13;17;-;-;2;5
