POSIBLES CAUSAS;ANO 2019;ANO 2020;ANO 2021 - TOTAL;ANO 2021 - ENE.;ANO 2021 - FEB.;ANO 2021 - MAR.;ANO 2021 - ABR.;ANO 2021 - MAY.;ANO 2021 - JUN.;ANO 2021 - JUL.;ANO 2021 - AGO.;ANO 2021 - SET.;ANO 2021 - OCT.;ANO 2021 - NOV.;ANO 2021 - DIC.
   TOTAL;1.570;1.269;1.942;140;129;124;138;145;140;173;188;198;201;179;187
        Adelantamiento indebido;145;105;144;6;11;17;11;14;17;18;19;8;7;7;9
        Animales sueltos en las rutas;26;24;19;2;2;-;2;3;2;-;3;2;2;-;1
        Casuales;50;48;67;6;3;4;3;3;3;7;6;10;9;6;7
        Conductor en estado de ebriedad;80;73;122;9;8;9;3;9;10;10;13;12;16;8;15
        Circular sin Luz;23;17;23;-;2;3;1;-;1;4;5;2;1;1;3
        Cruzar semaforo en rojo;15;16;22;1;-;4;1;1;2;-;2;3;3;4;1
        Desperfectos de rutas;16;14;11;1;1;1;1;-;1;2;-;-;2;1;1
        Desperfectos mecanicos;55;49;83;10;5;8;5;7;2;7;6;7;9;8;9
        Desprendimiento y/o caida de cargas y/o pasajeros;20;13;16;1;2;4;3;-;-;1;1;1;3;-;-
        Dormir en el volante;9;10;15;-;4;1;-;1;-;-;2;2;1;2;2
        Encandilamiento;10;2;5;-;1;-;2;-;-;-;-;1;-;1;-
        Estacionarse sobre la ruta;16;12;22;1;1;1;4;2;2;3;2;1;2;2;1
        Estacionarse sin luz sobre la ruta;-;4;2;1;-;-;-;-;-;-;-;-;-;-;1
        Estacionarse por desperfectos sin senalizacion;4;9;4;-;-;-;-;1;-;-;1;1;1;-;-
        Exceso de carga;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-
        Exceso de velocidad;114;118;158;8;12;8;13;16;13;12;17;15;16;16;12
        Giro Indebido;115;88;180;11;12;5;22;22;14;15;7;22;20;14;16
        Imprudencia del peaton;39;34;56;4;2;4;2;4;5;7;3;6;6;8;5
        Neblina;1;2;1;-;-;-;-;-;-;-;-;-;-;1;-
        No conservar distancia;380;252;450;37;30;25;26;23;33;44;53;48;32;39;60
        No conservar su lado;228;197;284;20;20;16;22;20;11;26;28;32;33;34;22
        No hacer senal para maniobrar;133;100;168;10;9;6;8;11;16;13;11;20;26;20;18
        Reventon de cubiertas por mal estado;13;14;15;2;-;-;1;2;1;2;2;1;-;2;2
        Reventon de cubiertas por objeto cortante;11;14;7;1;1;2;-;-;-;-;-;-;2;1;-
        Rutas mojadas;37;33;38;6;3;2;4;4;7;1;1;1;6;3;-
        Otras causas;29;20;30;3;-;4;4;2;-;1;6;3;4;1;2
