MES;TOTAL;DE 00:00 a 02:59 HORAS;DE 03:00 a 05:59 HORAS;DE 06:00 a 08:59 HORAS;DE 09:00 a 11:59 HORAS;DE 12:00 a 14:59 HORAS;DE 15:00 a 17:59 HORAS;DE 18:00 a 20:59 HORAS;DE 21:00 a 23:59 HORAS
TOTAL;1.942;73;137;305;278;256;374;359;160
Enero;140;2;11;22;27;12;33;12;21
Febrero;129;5;4;19;22;19;25;23;12
Marzo;124;6;9;18;15;18;24;23;11
Abril;138;8;9;31;15;15;23;26;11
Mayo;145;5;9;24;20;21;26;32;8
Junio;140;4;12;24;23;20;24;24;9
Julio;173;6;7;18;28;21;38;45;10
Agosto;188;8;17;34;34;16;30;36;13
Setiembre;198;8;12;34;21;26;46;39;12
Octubre;201;4;18;25;31;38;34;37;14
Noviembre;179;5;16;24;29;20;44;26;15
Diciembre;187;12;13;32;13;30;27;36;24
