MES;TOTAL - TOTAL;TOTAL - HOMBRES;TOTAL - MUJERES;HERIDOS - TOTAL;HERIDOS - HOMBRES;HERIDOS - MUJERES;MUERTOS - TOTAL;MUERTOS - HOMBRES;MUERTOS - MUJERES
TOTAL;1.324;965;359;1.055;746;309;269;219;50
Enero;78;59;19;64;50;14;14;9;5
Febrero;97;63;34;77;44;33;20;19;1
Marzo;85;67;18;71;56;15;14;11;3
Abril;101;73;28;84;58;26;17;15;2
Mayo;146;104;42;117;79;38;29;25;4
Junio;116;78;38;89;59;30;27;19;8
Julio;114;82;32;87;61;26;27;21;6
Agosto;111;89;22;84;67;17;27;22;5
Setiembre;119;92;27;93;69;24;26;23;3
Octubre;110;82;28;84;61;23;26;21;5
Noviembre;126;87;39;107;70;37;19;17;2
Diciembre;121;89;32;98;72;26;23;17;6
