MES;TOTAL - TOTAL;TOTAL - ASUNCION;TOTAL - ZONA CENTRAL;TOTAL - INTERIOR;HERIDOS - TOTAL;HERIDOS - ASUNCION;HERIDOS - ZONA CENTRAL;HERIDOS - INTERIOR;MUERTOS - TOTAL;MUERTOS - ASUNCION;MUERTOS - ZONA CENTRAL;MUERTOS - INTERIOR
TOTAL;1.491;167;476;848;1.196;141;394;661;295;26;82;187
Enero;93;15;21;57;77;13;19;45;16;2;2;12
Febrero;113;16;30;67;92;15;23;54;21;1;7;13
Marzo;93;8;34;51;77;6;30;41;16;2;4;10
Abril;105;4;30;71;87;3;24;60;18;1;6;11
Mayo;162;16;60;86;133;16;51;66;29;-;9;20
Junio;128;12;41;75;101;12;33;56;27;-;8;19
Julio;131;17;41;73;100;13;36;51;31;4;5;22
Agosto;123;12;47;64;93;9;35;49;30;3;12;15
Setiembre;131;12;45;74;103;10;37;56;28;2;8;18
Octubre;125;15;37;73;96;12;30;54;29;3;7;19
Noviembre;137;11;39;87;116;9;33;74;21;2;6;13
Diciembre;150;29;51;70;121;23;43;55;29;6;8;15
