MES;TOTAL;DIA LUNES;DIA MARTES;DIA MIERCOLES;DIA JUEVES;DIA VIERNES;DIA SABADO;DIA DOMINGO
TOTAL;1.942;250;257;238;266;300;324;307
Enero;140;15;21;15;18;14;29;28
Febrero;129;19;15;15;15;20;20;25
Marzo;124;15;22;17;22;24;16;8
Abril;138;18;16;20;20;28;17;19
Mayo;145;26;25;17;14;13;31;19
Junio;140;16;19;13;20;22;29;21
Julio;173;18;25;12;24;33;29;32
Agosto;188;26;30;22;20;20;33;37
Setiembre;198;22;14;29;39;29;38;27
Octubre;201;29;21;24;27;38;31;31
Noviembre;179;27;30;19;20;33;20;30
Diciembre;187;19;19;35;27;26;31;30
