ANO;TOTAL - TOTAL;TOTAL - HOMBRES;TOTAL - MUJERES;HERIDOS - TOTAL;HERIDOS - HOMBRES;HERIDOS - MUJERES;MUERTOS - TOTAL;MUERTOS - HOMBRES;MUERTOS - MUJERES
2012;484;347;137;385;276;109;99;71;28
2013;507;380;127;409;301;108;98;79;19
2014;564;411;153;478;343;135;86;68;18
2015;728;525;203;600;424;176;128;101;27
2016;1.517;1.074;443;1.207;831;376;310;243;67
2017;1.229;875;354;1.003;684;319;226;191;35
2018;1.104;794;310;914;636;278;190;158;32
2019;1.118;818;300;904;638;266;214;180;34
2020;927;692;235;719;519;200;208;173;35
2021;1.324;965;359;1.055;746;309;269;219;50
