id_caso,tipo_usuario,gravedad,es_motociclista,es_fallecido
1,Motociclista,Herido,1,0
2,Motociclista,Herido,1,0
3,Motociclista,Herido,1,0
4,Motociclista,Herido,1,0
5,Motociclista,Herido,1,0
6,Motociclista,Herido,1,0
7,Motociclista,Herido,1,0
8,Motociclista,Herido,1,0
9,Motociclista,Herido,1,0
10,Motociclista,Herido,1,0
11,Motociclista,Herido,1,0
12,Motociclista,Herido,1,0
13,Motociclista,Herido,1,0
14,Motociclista,Herido,1,0
15,Motociclista,Herido,1,0
16,Motociclista,Herido,1,0
17,Motociclista,Herido,1,0
18,Motociclista,Herido,1,0
19,Motociclista,Herido,1,0
20,Motociclista,Herido,1,0
21,Motociclista,Herido,1,0
22,Motociclista,Herido,1,0
23,Motociclista,Herido,1,0
24,Motociclista,Herido,1,0
25,Motociclista,Herido,1,0
26,Motociclista,Herido,1,0
27,Motociclista,Herido,1,0
28,Motociclista,Herido,1,0
29,Motociclista,Herido,1,0
30,Motociclista,Herido,1,0
31,Motociclista,Herido,1,0
32,Motociclista,Herido,1,0
33,Motociclista,Herido,1,0
34,Motociclista,Herido,1,0
35,Motociclista,Herido,1,0
36,Motociclista,Herido,1,0
37,Motociclista,Herido,1,0
38,Motociclista,Herido,1,0
39,Motociclista,Herido,1,0
40,Motociclista,Herido,1,0
41,Motociclista,Herido,1,0
42,Motociclista,Herido,1,0
43,Motociclista,Herido,1,0
44,Motociclista,Herido,1,0
45,Motociclista,Herido,1,0
46,Motociclista,Herido,1,0
47,Motociclista,Herido,1,0
48,Motociclista,Herido,1,0
49,Motociclista,Herido,1,0
50,Motociclista,Herido,1,0
51,Motociclista,Herido,1,0
52,Motociclista,Herido,1,0
53,Motociclista,Herido,1,0
54,Motociclista,Herido,1,0
55,Motociclista,Herido,1,0
56,Motociclista,Herido,1,0
57,Motociclista,Herido,1,0
58,Motociclista,Herido,1,0
59,Motociclista,Herido,1,0
60,Motociclista,Herido,1,0
61,Motociclista,Herido,1,0
62,Motociclista,Herido,1,0
63,Motociclista,Herido,1,0
64,Motociclista,Herido,1,0
65,Motociclista,Herido,1,0
66,Motociclista,Herido,1,0
67,Motociclista,Herido,1,0
68,Motociclista,Herido,1,0
69,Motociclista,Herido,1,0
70,Motociclista,Herido,1,0
71,Motociclista,Herido,1,0
72,Motociclista,Herido,1,0
73,Motociclista,Herido,1,0
74,Motociclista,Herido,1,0
75,Motociclista,Herido,1,0
76,Motociclista,Herido,1,0
77,Motociclista,Herido,1,0
78,Motociclista,Herido,1,0
79,Motociclista,Herido,1,0
80,Motociclista,Herido,1,0
81,Motociclista,Herido,1,0
82,Motociclista,Herido,1,0
83,Motociclista,Herido,1,0
84,Motociclista,Herido,1,0
85,Motociclista,Herido,1,0
86,Motociclista,Herido,1,0
87,Motociclista,Herido,1,0
88,Motociclista,Herido,1,0
89,Motociclista,Herido,1,0
90,Motociclista,Herido,1,0
91,Motociclista,Herido,1,0
92,Motociclista,Herido,1,0
93,Motociclista,Herido,1,0
94,Motociclista,Herido,1,0
95,Motociclista,Herido,1,0
96,Motociclista,Herido,1,0
97,Motociclista,Herido,1,0
98,Motociclista,Herido,1,0
99,Motociclista,Herido,1,0
100,Motociclista,Herido,1,0
101,Motociclista,Herido,1,0
102,Motociclista,Herido,1,0
103,Motociclista,Herido,1,0
104,Motociclista,Herido,1,0
105,Motociclista,Herido,1,0
106,Motociclista,Herido,1,0
107,Motociclista,Herido,1,0
108,Motociclista,Herido,1,0
109,Motociclista,Herido,1,0
110,Motociclista,Herido,1,0
111,Motociclista,Herido,1,0
112,Motociclista,Herido,1,0
